Code,Crime_rate
E02000001,0.034836472
E02000002,0.011596406
E02000003,0.00957883
E02000004,0.014534974
E02000005,0.00854682
E02000007,0.009831879
E02000008,0.010819293
E02000009,0.009526267
E02000010,0.012023524
E02000011,0.013253195
E02000012,0.008038646
E02000013,0.00791019
E02000014,0.010249508
E02000015,0.021198755
E02000016,0.008536009
E02000017,0.012289184
E02000018,0.010878752
E02000019,0.010801782
E02000020,0.01162854
E02000021,0.024582754
E02000022,0.023974284
E02000023,0.025481638
E02006799,0.01007054
E02000024,0.008526773
E02000025,0.017643526
E02000026,0.012875797
E02000027,0.01108875
E02000028,0.022142421
E02000029,0.00993489
E02000030,0.015216929
E02000031,0.013999466
E02000032,0.017095611
E02000033,0.01181849
E02000034,0.008244861
E02000035,0.012675053
E02000036,0.009218296
E02000037,0.022461571
E02000038,0.012380523
E02000039,0.00701628
E02000040,0.019770146
E02000041,0.014708056
E02000042,0.006032523
E02000043,0.007802142
E02000044,0.015007639
E02000045,0.006725173
E02000046,0.009868601
E02000047,0.013335545
E02000048,0.008491587
E02000049,0.004006772
E02000050,0.006719701
E02000051,0.01166184
E02000052,0.01241614
E02000053,0.004783639
E02000054,0.016541551
E02000055,0.004293381
E02000056,0.013217564
E02000057,0.015198238
E02000058,0.008881178
E02000059,0.010127137
E02000060,0.011984536
E02000061,0.010837672
E02000062,0.034870229
E02000063,0.020733027
E02000064,0.010822511
E02000065,0.017717145
E02000066,0.014267553
E02000067,0.009683191
E02000068,0.012990008
E02000069,0.018625241
E02000070,0.016722867
E02000071,0.035608586
E02000072,0.007797966
E02000073,0.014671351
E02000074,0.013241082
E02000075,0.023288173
E02000077,0.019868437
E02000078,0.008872411
E02000079,0.006151248
E02000080,0.010338809
E02000081,0.041388852
E02000082,0.005987303
E02000083,0.007261218
E02000084,0.007261146
E02000085,0.012333662
E02000086,0.024002157
E02000087,0.016807159
E02000088,0.016202988
E02000089,0.002869315
E02000090,0.008059174
E02000091,0.006414227
E02000092,0.018532993
E02006785,0.014026053
E02000093,0.010118886
E02000094,0.019419489
E02000095,0.005149535
E02000096,0.014697987
E02000097,0.003260146
E02000098,0.007206023
E02000099,0.010119931
E02000100,0.043420609
E02000101,0.029091472
E02000102,0.015752806
E02000103,0.009615385
E02000104,0.009575547
E02000105,0.009354537
E02000106,0.009956185
E02000107,0.009615727
E02000108,0.015720201
E02000109,0.039865181
E02000110,0.016380952
E02000111,0.013564105
E02000112,0.018617407
E02000113,0.018790698
E02000114,0.023484119
E02000115,0.012221432
E02000116,0.012827694
E02000117,0.006697973
E02000118,0.009788774
E02000119,0.018356059
E02000120,0.02848537
E02000121,0.007092846
E02000122,0.014198072
E02000123,0.025471698
E02000124,0.004060765
E02000125,0.007610209
E02000126,0.012829622
E02000127,0.010915963
E02000128,0.011160177
E02000130,0.005549601
E02000131,0.00218692
E02000132,0.011264906
E02000133,0.004459511
E02000134,0.004217236
E02000135,0.016361128
E02000136,0.008994984
E02000137,0.005292105
E02000138,0.009892629
E02000139,0.008826625
E02000140,0.014994514
E02000141,0.020922908
E02000142,0.02103733
E02000144,0.020484293
E02000145,0.028132721
E02000146,0.01358582
E02000147,0.017391843
E02000148,0.014052238
E02000149,0.012841704
E02000150,0.021646024
E02000151,0.012728468
E02000152,0.033564783
E02000153,0.016371681
E02000154,0.020460078
E02000155,0.014997851
E02000156,0.008920455
E02000157,0.009524982
E02000158,0.010791086
E02000159,0.010551317
E02000160,0.008436756
E02000161,0.013732147
E02000162,0.02122945
E02000163,0.024660897
E02000165,0.016255811
E02006782,0.02088739
E02006787,0.020489837
E02006789,0.018373028
E02000166,0.010305899
E02000167,0.013052963
E02000168,0.010875754
E02000169,0.01106955
E02000170,0.012238601
E02000171,0.011845861
E02000172,0.023735199
E02000173,0.019649577
E02000174,0.01682592
E02000175,0.011467454
E02000176,0.017903433
E02000177,0.009440851
E02000178,0.012200732
E02000179,0.020870337
E02000180,0.015142789
E02000181,0.020466133
E02000182,0.021897908
E02000183,0.012581639
E02000184,0.011227714
E02000185,0.012036522
E02000186,0.018267694
E02000187,0.033526786
E02000188,0.010142996
E02000189,0.025541126
E02000190,0.0112375
E02000191,0.012394131
E02000192,0.012285012
E02000193,0.010208055
E02000194,0.011652588
E02000195,0.009727749
E02000196,0.017829859
E02000197,0.022239932
E02000198,0.012947431
E02000199,0.0129362
E02000200,0.034981643
E02000201,0.017368069
E02000202,0.010135056
E02000203,0.021585117
E02000204,0.020441007
E02000206,0.02968686
E02000207,0.010733975
E02000208,0.008460432
E02000209,0.012609801
E02000210,0.024101404
E02000211,0.013620732
E02000212,0.021865133
E02000213,0.012577341
E02000214,0.022777778
E02000215,0.015647332
E02000216,0.030105945
E02000217,0.029492668
E02000218,0.024002954
E02000219,0.013730839
E02000220,0.013544934
E02000221,0.018719864
E02000222,0.009836858
E02000223,0.01760555
E02000224,0.008070396
E02000225,0.017233233
E02000226,0.01893959
E02000227,0.009073691
E02000228,0.014872321
E02000229,0.017429361
E02000230,0.008851279
E02000231,0.016436944
E02000232,0.017582938
E02000233,0.016661407
E02000234,0.02707912
E02000235,0.008672542
E02000236,0.012586516
E02000237,0.006995563
E02006788,0.012289408
E02000238,0.009516477
E02000239,0.009794889
E02000240,0.027542495
E02000241,0.014699365
E02000242,0.014559771
E02000243,0.008585625
E02000244,0.017425474
E02000245,0.017763698
E02000246,0.010044313
E02000247,0.007055774
E02000248,0.020295353
E02000249,0.008792332
E02000250,0.016156595
E02000251,0.009452736
E02000252,0.028510884
E02000253,0.028521904
E02000254,0.018757792
E02000255,0.017882859
E02000256,0.009363879
E02000257,0.020420331
E02000258,0.031454802
E02000259,0.023825557
E02000260,0.016329911
E02000261,0.012392184
E02000262,0.006488089
E02000263,0.006356356
E02000264,0.00922473
E02000265,0.020984529
E02000266,0.005961851
E02000267,0.010702985
E02000268,0.005492942
E02000269,0.005838433
E02000270,0.008493288
E02000271,0.007343284
E02000272,0.009476576
E02000274,0.006932511
E02000275,0.008731977
E02000276,0.005530872
E02006791,0.007370309
E02000277,0.008161605
E02000278,0.010877005
E02000279,0.006202501
E02000280,0.006444081
E02000281,0.009401516
E02000282,0.006073355
E02000283,0.014491407
E02000284,0.004835681
E02000285,0.010009169
E02000286,0.005907072
E02000287,0.022660735
E02000288,0.004121515
E02000289,0.014792269
E02000290,0.010199862
E02000291,0.011586207
E02000292,0.00752775
E02000293,0.01409934
E02000294,0.006623955
E02000295,0.009893507
E02000296,0.028747638
E02000297,0.010304622
E02000298,0.008119447
E02000299,0.008041813
E02000300,0.007111572
E02000301,0.013245407
E02000302,0.02010021
E02000303,0.016998762
E02000304,0.006539054
E02000305,0.008741794
E02000306,0.006471989
E02000307,0.005988746
E02000308,0.037016916
E02000309,0.00727751
E02000311,0.00506631
E02000312,0.005162023
E02006793,0.005228758
E02000313,0.010122529
E02000314,0.0091461
E02000315,0.011424675
E02000316,0.018122376
E02000317,0.016600141
E02000318,0.01632903
E02000319,0.011802776
E02000320,0.01081043
E02000321,0.017911839
E02000323,0.013009404
E02000324,0.013939315
E02000326,0.019616701
E02000327,0.013438097
E02000328,0.012431227
E02000329,0.016711209
E02000331,0.013865597
E02000332,0.016484687
E02000333,0.015843589
E02000334,0.016186888
E02000335,0.014472694
E02000337,0.011753278
E02000339,0.020458265
E02000340,0.048281401
E02000341,0.01917996
E02000342,0.009173167
E02000343,0.018059022
E02000344,0.013859437
E02006786,0.015799458
E02006927,0.016222173
E02006928,0.014568778
E02006929,0.017948398
E02006930,0.033942941
E02006931,0.019538992
E02000345,0.013118971
E02000346,0.024061705
E02000347,0.028213906
E02000348,0.015568862
E02000350,0.016808975
E02000351,0.009086904
E02000352,0.01997749
E02000353,0.021141727
E02000354,0.012485571
E02000355,0.011419892
E02000356,0.029016024
E02000357,0.02430956
E02000358,0.01102759
E02000359,0.01228384
E02000360,0.019009764
E02000361,0.013438931
E02000362,0.010971144
E02000363,0.010505564
E02000364,0.011762817
E02000365,0.00615331
E02000366,0.013104068
E02000367,0.009687646
E02000368,0.007165959
E02000369,0.00390125
E02000370,0.011152797
E02000371,0.004332683
E02006918,0.009811843
E02006921,0.008689373
E02000372,0.014130897
E02000373,0.009105107
E02000374,0.017650677
E02000375,0.006167206
E02000376,0.005784634
E02000377,0.009260875
E02000378,0.013352273
E02000379,0.004818639
E02000380,0.009225092
E02000381,0.009988249
E02000382,0.005284761
E02000383,0.028756219
E02000384,0.011805847
E02000385,0.006407246
E02000386,0.005365368
E02000387,0.010674806
E02000388,0.005047956
E02000389,0.009118199
E02000390,0.006493506
E02000391,0.039540021
E02000392,0.016394699
E02000393,0.017517483
E02000394,0.02052775
E02000395,0.047173025
E02000396,0.028069909
E02000397,0.012417219
E02000398,0.020706656
E02000400,0.01342536
E02000401,0.021335413
E02000402,0.02675727
E02000403,0.016662503
E02000404,0.021100917
E02000405,0.018737702
E02000406,0.015692685
E02000407,0.01206196
E02000408,0.013856729
E02000409,0.010771424
E02000410,0.014967915
E02000411,0.012660104
E02000412,0.016753229
E02000413,0.022421232
E02000414,0.018034958
E02000415,0.024880986
E02000416,0.015414407
E02000417,0.017710918
E02000418,0.025426711
E02000419,0.018121782
E02000420,0.015132505
E02000421,0.012731006
E02000422,0.012943327
E02000423,0.015592264
E02000424,0.045945946
E02000425,0.027795317
E02000426,0.018850502
E02000427,0.032023793
E02000428,0.017523515
E02000429,0.015276993
E02000430,0.017950073
E02000431,0.010885433
E02000432,0.006196549
E02006794,0.011778696
E02000433,0.013086327
E02000434,0.005506584
E02000435,0.015070078
E02000436,0.009358662
E02000437,0.00596796
E02000438,0.008070744
E02000439,0.008050256
E02000440,0.00353964
E02000441,0.008740134
E02000442,0.008448998
E02000443,0.007734295
E02000444,0.005600826
E02000445,0.006227243
E02000447,0.011072863
E02000448,0.006467733
E02000449,0.008803612
E02000451,0.011553427
E02000452,0.024047198
E02000453,0.014812049
E02000454,0.023531073
E02000455,0.017864307
E02000456,0.016218864
E02000457,0.042512153
E02000459,0.010311395
E02000460,0.019129387
E02000461,0.014941095
E02000462,0.026173205
E02000463,0.012683736
E02006795,0.019434973
E02006882,0.008555556
E02000464,0.016318423
E02000465,0.013323051
E02000466,0.017853785
E02000467,0.012265825
E02000468,0.076075302
E02000469,0.014940038
E02000470,0.01441048
E02000471,0.01479376
E02000472,0.008682799
E02000473,0.008261965
E02000474,0.010467375
E02000475,0.007946466
E02000476,0.009642896
E02000477,0.009896107
E02000478,0.016717325
E02000479,0.009604712
E02000480,0.008505768
E02000481,0.01622324
E02000482,0.014268086
E02000483,0.040383645
E02000484,0.016706501
E02000485,0.011346909
E02000486,0.006970545
E02000487,0.009830813
E02000488,0.019392648
E02000489,0.008441718
E02000490,0.018206039
E02000491,0.006065684
E02000492,0.013769577
E02000493,0.008753733
E02000494,0.008287143
E02000495,0.005185851
E02000496,0.00793336
E02000497,0.005521606
E02000498,0.011430459
E02000499,0.006915984
E02000500,0.007141962
E02000501,0.009072533
E02000502,0.010262966
E02000503,0.010536628
E02000504,0.016507209
E02000506,0.006266786
E02000507,0.007849957
E02000508,0.005890077
E02000509,0.006651434
E02000510,0.00731124
E02000511,0.006336534
E02000512,0.027743793
E02000513,0.016590198
E02000514,0.005735661
E02000515,0.013078435
E02000516,0.006269734
E02000517,0.007186256
E02000518,0.007831664
E02000519,0.014635733
E02000520,0.008048933
E02000521,0.025381104
E02000522,0.010370692
E02000523,0.014332574
E02000524,0.032085561
E02000525,0.012768831
E02006796,0.023946209
E02000526,0.013775874
E02000528,0.005080769
E02000529,0.020875963
E02000530,0.026809117
E02000531,0.013966975
E02000532,0.01145822
E02000533,0.018133111
E02000534,0.011525756
E02000535,0.007970085
E02000536,0.00781674
E02000537,0.005633337
E02000538,0.005819552
E02000539,0.004132529
E02000540,0.00475162
E02000541,0.005867155
E02000542,0.009266163
E02000543,0.003774461
E02000544,0.023193693
E02000545,0.00707142
E02000546,0.005231228
E02000547,0.005042101
E02000548,0.008587025
E02000549,0.006544662
E02000550,0.00726551
E02000551,0.011541035
E02000552,0.005283145
E02000553,0.032542324
E02006792,0.015587254
E02000554,0.020076118
E02000555,0.016152717
E02000556,0.010653895
E02000557,0.01201248
E02000558,0.015034028
E02000559,0.006724936
E02000560,0.026263538
E02000561,0.007025206
E02000562,0.024107249
E02000563,0.011071138
E02000564,0.010989393
E02000565,0.032888321
E02000566,0.013566814
E02000567,0.008530932
E02000568,0.022052863
E02000569,0.010183164
E02000570,0.0179808
E02000571,0.028403978
E02000572,0.012005906
E02000573,0.011073181
E02000574,0.012143095
E02000575,0.004981993
E02000576,0.005662958
E02000577,0.017594154
E02000578,0.019547325
E02000579,0.009646918
E02000580,0.009120919
E02000581,0.029981821
E02000582,0.016636351
E02000583,0.017814932
E02000584,0.010682179
E02000585,0.019752787
E02000586,0.02235278
E02000587,0.017620106
E02000588,0.014609104
E02000589,0.019236751
E02000590,0.014602201
E02000591,0.018940317
E02000592,0.016823922
E02000593,0.012142204
E02000594,0.01283485
E02000595,0.011980957
E02000596,0.016908273
E02000597,0.013868307
E02000598,0.018387136
E02000599,0.01865643
E02000600,0.010405978
E02000601,0.01145025
E02000602,0.017150014
E02000603,0.019066243
E02000604,0.012429759
E02000605,0.016382747
E02000606,0.011971564
E02000607,0.019149223
E02000608,0.016938608
E02000609,0.017751246
E02000610,0.010447394
E02000611,0.013266399
E02000612,0.007752973
E02000613,0.012404908
E02000614,0.02208533
E02000615,0.015605749
E02000616,0.014849226
E02000617,0.012683803
E02000619,0.02833765
E02000620,0.017493473
E02000621,0.017141565
E02000622,0.009086667
E02000623,0.009035204
E02000624,0.033907907
E02000625,0.013683582
E02000626,0.011229259
E02000627,0.105553266
E02000628,0.00563095
E02000629,0.013223504
E02000630,0.018520421
E02000631,0.13750393
E02000632,0.014864109
E02000633,0.009670281
E02000634,0.047119557
E02000635,0.010258649
E02000636,0.014782944
E02000637,0.011596937
E02000638,0.008030008
E02000639,0.012225372
E02000640,0.015327552
E02000641,0.01142794
E02000642,0.012649678
E02000643,0.010485604
E02000644,0.010615946
E02000645,0.008153096
E02000646,0.011028242
E02000647,0.020633668
E02000648,0.009815802
E02000649,0.00959398
E02000650,0.014766159
E02000651,0.01166613
E02000652,0.017508541
E02006801,0.025116279
E02000653,0.024227402
E02000654,0.022435215
E02000655,0.013753679
E02000657,0.010548351
E02000658,0.016624336
E02000659,0.010320417
E02000660,0.012188241
E02000661,0.020870076
E02000662,0.009862359
E02000663,0.019020486
E02000664,0.009137011
E02000665,0.015573013
E02000666,0.013853632
E02000667,0.010380372
E02000668,0.016382829
E02000669,0.014615385
E02000670,0.034497495
E02000671,0.017537488
E02000672,0.00590722
E02000673,0.018878101
E02000674,0.018125373
E02000675,0.006476593
E02000676,0.006127298
E02000677,0.013619403
E02000678,0.009132277
E02000679,0.006945949
E02000680,0.017294244
E02000681,0.008012076
E02000682,0.003219955
E02000683,0.009297052
E02000685,0.009899587
E02000686,0.014939336
E02000687,0.005154883
E02006783,0.013579246
E02006784,0.005064086
E02006798,0.012193878
E02000689,0.011432054
E02000690,0.013908257
E02000691,0.017189613
E02000692,0.020274733
E02000693,0.01083871
E02000694,0.028111012
E02000695,0.020018998
E02000696,0.00935147
E02000697,0.019538994
E02000698,0.020503321
E02000699,0.013137739
E02000700,0.013283298
E02000701,0.015120561
E02000702,0.017319224
E02000703,0.037560726
E02000704,0.012294469
E02000705,0.020250522
E02000706,0.012521834
E02000707,0.027625691
E02000708,0.021303883
E02000709,0.009924558
E02000710,0.006519465
E02000711,0.01293033
E02000712,0.039301558
E02000713,0.008051357
E02000714,0.010268071
E02000715,0.011570901
E02000716,0.014334071
E02000717,0.02274364
E02000718,0.019932905
E02000719,0.016792041
E02000720,0.003304485
E02000721,0.008139888
E02000722,0.008391775
E02000723,0.012521932
E02000724,0.010409643
E02000725,0.013392272
E02000726,0.017323496
E02000727,0.00665271
E02000728,0.014362336
E02000729,0.004490477
E02000730,0.007230098
E02000731,0.009206799
E02000732,0.053790659
E02000733,0.030544345
E02000734,0.016372059
E02000735,0.011650365
E02000736,0.008067022
E02000737,0.00977971
E02000738,0.013045409
E02000739,0.016176871
E02000740,0.016740656
E02000741,0.054100254
E02000742,0.017468559
E02000743,0.018105023
E02000744,0.022544999
E02000745,0.02400096
E02000746,0.030177367
E02000747,0.009885799
E02000748,0.019623112
E02000749,0.010655542
E02000750,0.009129353
E02000751,0.015107775
E02000752,0.040424646
E02000753,0.012047627
E02000754,0.018893939
E02000755,0.077901545
E02000756,0.003513203
E02000757,0.00728418
E02000758,0.016978961
E02000759,0.00846594
E02000760,0.012700831
E02000762,0.007902033
E02000763,0.003337631
E02000764,0.009443453
E02000765,0.007809177
E02000767,0.006675047
E02000768,0.031608101
E02000769,0.003644705
E02000770,0.006047516
E02000772,0.010631777
E02000773,0.007457559
E02000774,0.01802558
E02000776,0.020211671
E02000777,0.027056673
E02000779,0.020297862
E02000780,0.01356274
E02000781,0.007655206
E02000782,0.012632527
E02000783,0.011012103
E02006800,0.006560808
E02006924,0.012647479
E02006925,0.006390315
E02000784,0.021240234
E02000785,0.012104225
E02000786,0.013464448
E02000787,0.008218461
E02000788,0.010993775
E02000789,0.011137744
E02000790,0.011275919
E02000791,0.010194625
E02000792,0.008534009
E02000793,0.012713701
E02000794,0.019501167
E02000795,0.025357934
E02000796,0.009712096
E02000797,0.01954147
E02000798,0.013134946
E02000799,0.016041417
E02000800,0.014256391
E02000801,0.013844835
E02000802,0.012203775
E02000803,0.008999683
E02000804,0.013099606
E02000805,0.007986452
E02000806,0.02313897
E02000807,0.016722259
E02000808,0.01319491
E02000809,0.007535249
E02000810,0.010195619
E02000812,0.009571482
E02000813,0.013129604
E02000814,0.018133182
E02000815,0.020503235
E02000816,0.019989507
E02000817,0.027437943
E02000818,0.015098783
E02000819,0.012742319
E02000820,0.012719892
E02000821,0.017258143
E02000822,0.045890781
E02000823,0.011287436
E02000824,0.01815065
E02000825,0.010595474
E02000826,0.012898264
E02000827,0.010021461
E02000828,0.011285714
E02000829,0.010551892
E02000830,0.011627907
E02000831,0.015869454
E02000832,0.022478852
E02000833,0.015582127
E02000834,0.013172385
E02000835,0.044647486
E02000836,0.021523623
E02000837,0.010354715
E02000838,0.02096156
E02000839,0.027263755
E02006802,0.043035316
E02000840,0.013466155
E02000841,0.011116066
E02000842,0.015775333
E02000843,0.029367219
E02000844,0.015635139
E02000845,0.018084661
E02000846,0.015177344
E02000847,0.014274851
E02000848,0.018676123
E02000849,0.023388133
E02000850,0.026967344
E02000851,0.016048835
E02000852,0.012307089
E02000853,0.016808128
E02000854,0.023546706
E02000855,0.009015067
E02000856,0.014871155
E02000857,0.006832595
E02000858,0.014416081
E02000859,0.015247478
E02000860,0.011513441
E02000861,0.01346204
E02000863,0.015263715
E02006836,0.00952717
E02000864,0.012416658
E02000865,0.012881841
E02000866,0.009300485
E02000867,0.01785494
E02000868,0.00780212
E02000869,0.014738617
E02000870,0.007279109
E02000871,0.008052723
E02000872,0.00965138
E02000873,0.008191654
E02000874,0.035374809
E02000875,0.007549421
E02000876,0.01189381
E02000877,0.005857852
E02000878,0.010248836
E02000879,0.015670079
E02000880,0.012565863
E02000881,0.008483591
E02000882,0.01457946
E02000883,0.006948229
E02000884,0.008890169
E02000885,0.008889788
E02000886,0.032414472
E02000887,0.024565328
E02000888,0.01620997
E02000889,0.019736141
E02000890,0.012552371
E02000891,0.01611603
E02000893,0.027360574
E02000894,0.011969601
E02006853,0.014893617
E02006854,0.017019832
E02000895,0.00654636
E02000896,0.007587287
E02000897,0.007977582
E02000898,0.025340287
E02000899,0.007574832
E02000900,0.008249881
E02000901,0.004629726
E02000902,0.004987678
E02000903,0.006597374
E02000904,0.005101328
E02000905,0.005497564
E02000906,0.008750912
E02000907,0.005367941
E02000908,0.002729128
E02000909,0.004928154
E02000910,0.004903037
E02000911,0.007912222
E02000912,0.007233041
E02000913,0.005491556
E02000914,0.006641537
E02000915,0.005516406
E02000916,0.011406571
E02000917,0.003711945
E02000918,0.006227967
E02000919,0.004602774
E02000920,0.013939875
E02000921,0.003535399
E02000922,0.008171941
E02000923,0.008544017
E02000924,0.008159839
E02000925,0.008564427
E02000926,0.008489362
E02000927,0.00770322
E02000928,0.00918538
E02000929,0.035237704
E02000930,0.00843071
E02000931,0.00637095
E02000932,0.006583579
E02000933,0.006442906
E02000934,0.013224101
E02000935,0.022076801
E02000936,0.015791329
E02000937,0.005634328
E02000938,0.007048677
E02000939,0.00682795
E02000940,0.006615077
E02000941,0.026366242
E02000942,0.007933441
E02000943,0.005589035
E02000944,0.007437783
E02000945,0.005674924
E02000946,0.007511901
E02000947,0.014569067
E02000948,0.010017575
E02000949,0.020827687
E02000950,0.016833936
E02000951,0.00877534
E02000952,0.027874316
E02000953,0.008332315
E02000954,0.009074869
E02000955,0.005092698
E02000956,0.005486445
E02000957,0.007257112
E02000958,0.005611461
E02000959,0.006047321
E02000960,0.009626003
E02000961,0.005904735
E02000962,0.00300204
E02000963,0.00542097
E02000964,0.005393341
E02000965,0.008703445
E02000966,0.007956345
E02000967,0.006040711
E02000968,0.00730569
E02000969,0.006068047
E02000970,0.012547228
E02000971,0.004083139
E02000972,0.006850764
E02000973,0.004464691
E02000974,0.013521679
E02000975,0.003429337
E02000976,0.007926783
E02000977,0.008287696
E02000978,0.007915044
E02000979,0.008307494
E02000980,0.008234681
E02000981,0.007472124
E02000982,0.008909818
E02000983,0.034180573
