,0,1,2,3
0,203.0,168.0,34.836472,5.0
1,60.0,20.0,11.596406,0.0
2,137.0,18.0,9.57883,1.0
3,77.0,13.0,14.534974,4.0
4,128.0,10.0,8.54682,1.0
5,70.0,22.0,9.831879,0.0
6,98.0,22.0,10.819293,4.0
7,105.0,14.0,9.526267,4.0
8,92.0,7.0,12.023524,4.0
9,68.0,15.0,13.253195,0.0
10,85.0,14.0,8.038646,4.0
11,64.0,13.0,7.91019,0.0
12,79.0,20.0,10.249508,4.0
13,62.0,19.0,21.198755,0.0
14,70.0,25.0,8.536009,0.0
15,56.0,9.0,12.289184,0.0
16,87.0,17.0,10.878752,4.0
17,70.0,27.0,10.801782,0.0
18,224.0,50.0,11.62854,5.0
19,82.0,27.0,24.582754,4.0
20,36.0,11.0,23.974284,0.0
21,35.0,28.0,25.481638,0.0
22,95.0,50.0,10.07054,4.0
23,122.0,24.0,8.526773,1.0
24,103.0,9.0,17.643526,4.0
25,55.0,16.0,12.875797,0.0
26,87.0,20.0,11.08875,4.0
27,59.0,20.0,22.142421,0.0
28,91.0,46.0,9.93489,4.0
29,98.0,33.0,15.216929,4.0
30,225.0,12.0,13.999466,5.0
31,63.0,24.0,17.095611,0.0
32,97.0,22.0,11.81849,4.0
33,75.0,12.0,8.244861,4.0
34,94.0,19.0,12.675053,4.0
35,83.0,23.0,9.218296,4.0
36,140.0,29.0,22.461571,1.0
37,87.0,35.0,12.380523,4.0
38,85.0,38.0,7.01628,4.0
39,198.0,30.0,19.770146,5.0
40,46.0,27.0,14.708056,0.0
41,105.0,12.0,6.032523,4.0
42,60.0,18.0,7.802142,0.0
43,61.0,25.0,15.007639,0.0
44,98.0,25.0,6.725173,4.0
45,51.0,24.0,9.868601,0.0
46,68.0,19.0,13.335545,0.0
47,129.0,15.0,8.491587,1.0
48,67.0,25.0,4.006772,0.0
49,76.0,30.0,6.719701,4.0
50,122.0,14.0,11.66184,1.0
51,77.0,23.0,12.41614,4.0
52,308.0,18.0,4.783639,5.0
53,60.0,27.0,16.541551,0.0
54,87.0,42.0,4.293381,4.0
55,101.0,16.0,13.217564,4.0
56,52.0,25.0,15.198238,0.0
57,111.0,16.0,8.881178,4.0
58,83.0,18.0,10.127137,4.0
59,46.0,34.0,11.984536,0.0
60,75.0,45.0,10.837672,4.0
61,30.0,16.0,34.870229,0.0
62,55.0,20.0,20.733027,0.0
63,39.0,13.0,10.822511,0.0
64,52.0,32.0,17.717145,0.0
65,41.0,26.0,14.267553,0.0
66,131.0,39.0,9.683191,1.0
67,95.0,23.0,12.990008,4.0
68,151.0,24.0,18.625241,1.0
69,92.0,12.0,16.722867,4.0
70,70.0,32.0,35.608586,0.0
71,119.0,25.0,7.797966,1.0
72,131.0,15.0,14.671351,1.0
73,99.0,18.0,13.241082,4.0
74,92.0,15.0,23.288173,4.0
75,111.0,19.0,19.868437,4.0
76,120.0,30.0,8.872411,1.0
77,180.0,32.0,6.151248,1.0
78,137.0,35.0,10.338809,1.0
79,106.0,22.0,41.388852,4.0
80,112.0,41.0,5.987303,4.0
81,166.0,36.0,7.261218,1.0
82,150.0,21.0,7.261146,1.0
83,113.0,17.0,12.333662,4.0
84,95.0,36.0,24.002157,4.0
85,105.0,24.0,16.807159,4.0
86,101.0,16.0,16.202988,4.0
87,88.0,29.0,2.869315,4.0
88,158.0,27.0,8.059174,1.0
89,195.0,32.0,6.414227,5.0
90,72.0,17.0,18.532993,4.0
91,79.0,20.0,14.026053,4.0
92,50.0,25.0,10.118886,0.0
93,45.0,13.0,19.419489,0.0
94,39.0,10.0,5.149535,0.0
95,36.0,18.0,14.697987,0.0
96,57.0,12.0,3.260146,0.0
97,47.0,18.0,7.206023,0.0
98,39.0,24.0,10.119931,0.0
99,30.0,10.0,43.420609,0.0
100,43.0,29.0,29.091472,0.0
101,36.0,23.0,15.752806,0.0
102,34.0,22.0,9.615385,0.0
103,35.0,29.0,9.575547,0.0
104,47.0,19.0,9.354537,0.0
105,37.0,4.0,9.956185,0.0
106,66.0,24.0,9.615727,0.0
107,84.0,10.0,15.720201,4.0
108,301.0,23.0,39.865181,5.0
109,43.0,25.0,16.380952,0.0
110,33.0,32.0,13.564105,0.0
111,38.0,15.0,18.617407,0.0
112,17.0,16.0,18.790698,0.0
113,66.0,24.0,23.484119,0.0
114,44.0,16.0,12.221432,0.0
115,29.0,10.0,12.827694,0.0
116,36.0,51.0,6.697973,0.0
117,31.0,10.0,9.788774,0.0
118,75.0,18.0,18.356059,4.0
119,82.0,19.0,28.48537,4.0
120,46.0,25.0,7.092846,0.0
121,60.0,26.0,14.198072,0.0
122,65.0,13.0,25.471698,0.0
123,87.0,15.0,4.060765,4.0
124,92.0,18.0,7.610209,4.0
125,109.0,23.0,12.829622,4.0
