id,price,stations,crime rate,group
E02000001,203,168,0.034836472,5
E02000002,60,20,0.011596406,0
E02000003,137,18,0.00957883,1
E02000004,77,13,0.014534974,4
E02000005,128,10,0.00854682,1
E02000007,70,22,0.009831879,0
E02000008,98,22,0.010819293,4
E02000009,105,14,0.009526267,4
E02000010,92,7,0.012023524,4
E02000011,68,15,0.013253195,0
E02000012,85,14,0.008038646,4
E02000013,64,13,0.00791019,0
E02000014,79,20,0.010249508,4
E02000015,62,19,0.021198755,0
E02000016,70,25,0.008536009,0
E02000017,56,9,0.012289184,0
E02000018,87,17,0.010878752,4
E02000019,70,27,0.010801782,0
E02000020,224,50,0.01162854,5
E02000021,82,27,0.024582754,4
E02000022,36,11,0.023974284,0
E02000023,35,28,0.025481638,0
E02006799,95,50,0.01007054,4
E02000024,122,24,0.008526773,1
E02000025,103,9,0.017643526,4
E02000026,55,16,0.012875797,0
E02000027,87,20,0.01108875,4
E02000028,59,20,0.022142421,0
E02000029,91,46,0.00993489,4
E02000030,98,33,0.015216929,4
E02000031,225,12,0.013999466,5
E02000032,63,24,0.017095611,0
E02000033,97,22,0.01181849,4
E02000034,75,12,0.008244861,4
E02000035,94,19,0.012675053,4
E02000036,83,23,0.009218296,4
E02000037,140,29,0.022461571,1
E02000038,87,35,0.012380523,4
E02000039,85,38,0.00701628,4
E02000040,198,30,0.019770146,5
E02000041,46,27,0.014708056,0
E02000042,105,12,0.006032523,4
E02000043,60,18,0.007802142,0
E02000044,61,25,0.015007639,0
E02000045,98,25,0.006725173,4
E02000046,51,24,0.009868601,0
E02000047,68,19,0.013335545,0
E02000048,129,15,0.008491587,1
E02000049,67,25,0.004006772,0
E02000050,76,30,0.006719701,4
E02000051,122,14,0.01166184,1
E02000052,77,23,0.01241614,4
E02000053,308,18,0.004783639,5
E02000054,60,27,0.016541551,0
E02000055,87,42,0.004293381,4
E02000056,101,16,0.013217564,4
E02000057,52,25,0.015198238,0
E02000058,111,16,0.008881178,4
E02000059,83,18,0.010127137,4
E02000060,46,34,0.011984536,0
E02000061,75,45,0.010837672,4
E02000062,30,16,0.034870229,0
E02000063,55,20,0.020733027,0
E02000064,39,13,0.010822511,0
E02000065,52,32,0.017717145,0
E02000066,41,26,0.014267553,0
E02000067,131,39,0.009683191,1
E02000068,95,23,0.012990008,4
E02000069,151,24,0.018625241,1
E02000070,92,12,0.016722867,4
E02000071,70,32,0.035608586,0
E02000072,119,25,0.007797966,1
E02000073,131,15,0.014671351,1
E02000074,99,18,0.013241082,4
E02000075,92,15,0.023288173,4
E02000077,111,19,0.019868437,4
E02000078,120,30,0.008872411,1
E02000079,180,32,0.006151248,1
E02000080,137,35,0.010338809,1
E02000081,106,22,0.041388852,4
E02000082,112,41,0.005987303,4
E02000083,166,36,0.007261218,1
E02000084,150,21,0.007261146,1
E02000085,113,17,0.012333662,4
E02000086,95,36,0.024002157,4
E02000087,105,24,0.016807159,4
E02000088,101,16,0.016202988,4
E02000089,88,29,0.002869315,4
E02000090,158,27,0.008059174,1
E02000091,195,32,0.006414227,5
E02000092,72,17,0.018532993,4
E02006785,79,20,0.014026053,4
E02000093,50,25,0.010118886,0
E02000094,45,13,0.019419489,0
E02000095,39,10,0.005149535,0
E02000096,36,18,0.014697987,0
E02000097,57,12,0.003260146,0
E02000098,47,18,0.007206023,0
E02000099,39,24,0.010119931,0
E02000100,30,10,0.043420609,0
E02000101,43,29,0.029091472,0
E02000102,36,23,0.015752806,0
E02000103,34,22,0.009615385,0
E02000104,35,29,0.009575547,0
E02000105,47,19,0.009354537,0
E02000106,37,4,0.009956185,0
E02000107,66,24,0.009615727,0
E02000108,84,10,0.015720201,4
E02000109,301,23,0.039865181,5
E02000110,43,25,0.016380952,0
E02000111,33,32,0.013564105,0
E02000112,38,15,0.018617407,0
E02000113,17,16,0.018790698,0
E02000114,66,24,0.023484119,0
E02000115,44,16,0.012221432,0
E02000116,29,10,0.012827694,0
E02000117,36,51,0.006697973,0
E02000118,31,10,0.009788774,0
E02000119,75,18,0.018356059,4
E02000120,82,19,0.02848537,4
E02000121,46,25,0.007092846,0
E02000122,60,26,0.014198072,0
E02000123,65,13,0.025471698,0
